en,ru,nl,es,de,fr
"to, attached to","к, прикреплённый к",aan,"a, unido a","zu, befestigt an","à, attaché à"
to offer,предлагать,aanbieden,ofrecer,anbieten,offrir
attention,внимание,de aandacht,atención,Achtung,attention
to arrive,прибыть,aankomen,llegar,ankommen,arriver
number of,количество,het aantal,número de,Anzahl von,nombre de
attractive,привлекательный,aantrekkelijk,atractivo,attraktiv,attractif
attack,атака,de aanval,ataque,angreifen,attaque
present,настоящее,aanwezig,presente,Gegenwart,présent
soil,почва,de aarde,suelo,Boden,sol
absolutely,абсолютно,absoluut,absolutamente,absolut,absolument
to accept,принимать,accepteren,aceptar,zu akzeptieren,d'accepter
behind,за,achter,detrás de,hinter,derrière
background,фон,de achtergrond,fondo,Hintergrund,arrière-plan
action,действие,de actie,acción,Aktion,action
active,активная,actief,activo,aktiv,actif
activity,деятельность,de activiteit,actividad,Tätigkeit,activité
address,адрес,het adres,dirección,Adresse,adresse
advice,совет,de raad,consejo,Beratung,conseils
department,отдел,de afdeling,departamento,Abteilung,département
"to go down, descend","спускаться, спускаться",afgaan,"bajar, descender","hinuntergehen, hinabsteigen","descendre, descendre"
to finish up,закончить,afmaken,para terminar,zu Ende zu bringen,pour terminer
"to pay, settle the bill","заплатить, оплатить счет",afrekenen,"pagar, saldar la cuenta","zu bezahlen, die Rechnung zu begleichen","payer, régler la facture"
goodbye,До свидания,het afscheid,adiós,Auf Wiedersehen,au revoir
appointment,назначение,de afspraak,cita,Ernennung,rendez-vous
to make an appointment,записаться на прием,afspreken,para concertar una cita,um einen Termin zu vereinbaren,pour prendre rendez-vous
distance,расстояние,de afstand,distancia,Entfernung,distance
to graduate,закончить школу,afstuderen,graduarse,zu absolvieren,obtenir un diplôme
to do the dishes,мыть посуду,afwassen,lavar los platos,den Abwasch zu machen,faire la vaisselle
agent,агент,de agent,agente,Agent,agent
already,уже,al,ya,bereits,déjà
general,общее,algemeen,general,allgemein,général
all,все,allen,todos,alle,tous
both,оба,beide,ambos,beide,à la fois
only,только,pas,sólo,nur,seulement
all of them,все они,allemaal,todos,alle von ihnen,tous
everything,все,alles,todo,alles,tout
"if, when","если, когда",als,"si, cuando","wenn, wenn","si, quand"
as if,как будто,alsof,como si,als ob,comme si
always,всегда,altijd,siempre,immer,toujours
civil servant,государственный служащий,de ambtenaar,funcionario,Staatsdiener,fonctionnaire
other,другие,ander,otros,andere,autres
different,разные,verschillend,diferente,verschiedene,différents
fear,страх,de angst,miedo,Angst,peur
answer,ответ,het antwoord,responder,Antwort,répondre
to answer,отвечать,antwoorden,responder,zu beantworten,pour répondre
labor,труд,de arbeid,trabajo,Arbeit,travail
worker,рабочий,de arbeider,trabajador,Arbeiter,travailleur
argument,аргумент,het argument,argumento,Argument,argument
arm,рука,de arm,brazo,Arm,bras
article,статья,het artikel,artículo,Artikel,article
aspect,аспект,het aspect,aspecto,Aspekt,aspect
author,автор,de auteur,autor,Autor,auteur
automatically,автоматически,automatisch,automáticamente,automatisch,automatiquement
boss,босс,de baas,jefe,Chef,patron
baby,ребенок,de baby,bebé,Baby,bébé
afraid,боится,bang,miedo,Angst,effrayé
bank,банк,de bank,banco,Bank,banque
base,база,de basis,base,Basis,base
bed,кровать,het bed,cama,Bett,lit
company,компания,het bedrijf,empresa,Unternehmen,entreprise
statue,статуя,het beeld,estatua,Statue,statue
leg,нога,de poot,pierna,Bein,jambe
get started,начать,het begin,empezar,loslegen,commencer
"to start, begin","начинать, приступать",beginnen,"empezar, comenzar","beginnen, beginnen","commencer, débuter"
understanding,понимание,het begrip,comprender,Verständnis,compréhension
except,кроме,behalve,excepto,außer,sauf
therapy,терапия,de behandeling,terapia,Therapie,thérapie
need,нужно,de noodzaak,necesita,brauchen,besoin
interest,проценты,het belang,interés,Interesse,intérêt
policy,политика,het beleid,política,Politik,politique
to call,звонить,bellen,llamar,anrufen,pour appeler
down,вниз,beneden,abajo,unten,vers le bas
determined,определено,bepaald,determinado,bestimmt,déterminés
prepared,подготовлено,bereid,preparado,vorbereitet,préparé
profession,профессия,het beroep,profesión,Beruf,profession
protection,защита,de bescherming,protección,Schutz,protection
decision,решение,het besluit,decisión,Entscheidung,décision
to decide,решать,besluiten,decidir,zu entscheiden,décider
to discuss,обсудить,bespreken,para debatir,zu besprechen,pour discuter
board,доска,het bestuur,tablero,Vorstand,conseil
to pay,платить,betalen,pagar,zu zahlen,à payer
to mean,означать,menen,es decir,zu bedeuten,pour signifier
meaning,значение,de betekenis,Significado,Bedeutung,sens
better,лучше,beter,mejor,besser,meilleur
turn,повернуть,de beurt,gire a,drehen.,tourner
to contain,содержать,bevatten,contener,zu enthalten,pour contenir
to move,двигаться,bewegen,mover,zu bewegen,de se déplacer
movement,движение,de beweging,movimiento,Bewegung,mouvement
proof,доказательство,het bewijs,prueba,Nachweis,preuve
conscious,сознание,bewust,consciente,bewusst,conscient
busy,занят,bezig,ocupado,beschäftigt,occupé
possession,владение,het bezit,posesión,Besitz,possession
visit,посетите,het bezoek,visite,besuchen Sie,visiter
to influence,влиять,beïnvloeden,influir,zu beeinflussen,d'influencer
beer,пиво,het bier,cerveza,Bier,bière
at,на,bij,en,unter,à
contribution,вклад,de bijdrage,contribución,Beitrag,contribution
"almost, nearly",почти,bijna,casi,fast,presque
to bite,кусаться,bijten,morder,zum Beißen,mordre
for example,например,bijvoorbeeld,por ejemplo,zum Beispiel,par exemple
special,специальный,speciaal,especial,Spezial,spécial
"within, inside","внутри, внутри",binnen,"dentro, en el interior","innen, innen","à l'intérieur, à l'intérieur"
to enter,войти,ingaan,para entrar,zur Eingabe,pour entrer
bitter,горький,bitter,amargo,bitter,amer
sheet,лист,het blad,hoja,Blatt,feuille
blue,голубой,blauw,azul,blau,bleu
happy,счастливый,gelukkig,feliz,glücklich,heureux
apparently,"очевидно,",blijkbaar,aparentemente,offenbar,apparemment
to stay,оставаться,blijven,para quedarse,zu bleiben,rester
look,смотреть,de blik,mira,siehe,regarder
blood,кровь,het bloed,sangre,Blut,sang
flower,цветок,de bloem,flor,Blume,fleur
"bottom, ground","дно, земля",de bodem,"fondo, suelo","Boden, Boden","fond, sol"
book,книга,het boek,Libro,Buch,livre
farmer,фермер,de boer,agricultor,Landwirt,agriculteur
message,сообщение,de boodschap,mensaje,Nachricht,message
bow,бант,de boog,arco,Bogen,arc
tree,дерево,de boom,árbol,Baum,arbre
angry,сердитый,boos,enfadado,wütend,en colère
boat,лодка,de boot,barco,Boot,bateau
plate,тарелка,de plaat,placa,Platte,assiette
chest,грудь,de kist,pecho,Brust,poitrine
forest,лес,het bos,bosque,Wald,forêt
upstairs,наверху,boven,arriba,Obergeschoss,à l'étage
moreover,более того,overigens,además,Außerdem,De plus
fire,пожар,het vuur,fuego,Feuer,incendie
wide,широкий,wijd,ancho,breit,large
to bring,приносить,brengen,traer,zu bringen,pour apporter
letter,письмо,de brief,carta,Schreiben,lettre
pants,брюки,de broek,pantalones,Hosen,pantalon
brother,брат,de broer,hermano,Bruder,frère
source,источник,de bron,fuente,Quelle,source
bread,хлеб,het brood,pan,Brot,pain
bridge,мост,de brug,puente,Brücke,pont
brown,коричневый,bruin,marrón,braun,marron
stomach,желудок,de maag,estómago,Magen,estomac
outside,за пределами,buiten,fuera de,außerhalb,à l'extérieur
foreign,иностранный,buitenlands,extranjero,Ausland,étranger
desk,стол,het bureau,escritorio,Schreibtisch,bureau
mayor,мэр,de burgemeester,alcalde,Bürgermeister,maire
civil,гражданская,burgerlijk,civil,zivil,civile
bus,автобус,de bus,autobús,Bus,bus
neighborhood,район,de buurt,barrio,Nachbarschaft,le voisinage
cafe,кафе,het café,café,Cafe,café
category,категория,de categorie,categoría,Kategorie,catégorie
centre,центр,het centrum,centro,Zentrum,centre
colleague,коллега,de collega,colega,Kollege,collègue
combination,комбинация,de combinatie,combinación,Kombination,combinaison
communication,общение,de communicatie,comunicación,Kommunikation,communication
computer,компьютер,de computer,ordenador,Computer,ordinateur
conclusion,заключение,de conclusie,conclusión,Schlussfolgerung,conclusion
consequence,следствие,het gevolg,consecuencia,Folge,conséquence
contact,связаться с,het contact,póngase en contacto con,Kontakt,contact
crisis,кризис,de crisis,crisis,Krise,crise
cultural,культура,cultureel,cultural,Kultur,culturel
culture,культура,de cultuur,cultura,Kultur,culture
there,там,daar,allí,dort,là
after that,после этого,daarna,después,daraufhin,après cela
therefore,поэтому,daarom,por lo tanto,daher,par conséquent
day,день,de dag,día,Tag,jour
daily,ежедневно,dagelijks,diario,täglich,quotidien
roof,крыша,het dak,tejado,Dach,toit
then,затем,dan,entonces,dann,puis
to thank,благодарить,danken,dar las gracias,zum Dank,pour remercier
to dance,танцевать,dansen,para bailar,zu tanzen,danser
that (het words),,dat,,,
that,это (het слова),,que,dass,que
the,сайт,de,el,die,les
part,часть,het gedeelte,pieza,Teil,partie
final,окончательный,definitief,final,endgültig,final
blanket,одеяло,de deken,manta,Decke,couverture
to think,думать,denken,pensar,zu denken,penser
third,третий,derde,tercera,dritte,troisième
detail,подробнее,het detail,detalle,Detail,détail
door,дверь,de deur,puerta,Tür,porte
this (de words),,deze,,,
this,это,,esto,dies,ceci
the same,одинаковый,hetzelfde,lo mismo,derselbe,les mêmes
nearby,поблизости,dichtbij,cerca de,in der Nähe,à proximité
"close by, far away","рядом, далеко","dichtbij, ver weg","cerca, lejos","nah dran, weit weg","proche, lointain"
to close,закрываться,sluiten,cerrar,zu schließen,pour fermer
shift,смена,de dienst,turno,Schicht,changement
deep,глубокий,diep,profundo,tief,profond
animal,животное,het dier,animal,Tier,animal
fat,жир,dik,grasa,fett,gras
"fat, thin","толстый, худой","dik, dun","gordo, delgado","fett, dünn","gros, mince"
thing,вещь,het ding,cosa,Sache,chose
directly,напрямую,direct,directamente,direkt,directement
director,директор,de directeur,director,Direktor,directeur
discussion,обсуждение,de discussie,debate,Diskussion,discussion
this (het words),,dit,,,
daughter,дочь,de dochter,hija,Tochter,fille
target,цель,het doel,objetivo,Ziel,cible
"goal, objective","цель, задача",de doelstelling,"meta, objetivo","Ziel, Zielsetzung","but, objectif"
to do,делать,doen,hacer,zu tun,à faire
doctor,доктор,de huisarts,doctor,Doktor,médecin
stupid,глупый,dom,estúpido,dumm,stupide
dark,темный,donker,oscuro,dunkel,sombre
"dark, light","тёмный, светлый","donker, licht","oscuro, claro","dunkel, hell","sombre, clair"
death,смерть,de dood,muerte,Tod,la mort
because,потому что,doordat,porque,denn,parce que
to continue,продолжать,verdergaan,continuar,fortsetzen,poursuivre
to pass along,передавать,doorgeven,transmitir,zur Weitergabe,transmettre
box,ящик,de doos,caja,Box,boîte
village,деревня,het dorp,pueblo,Dorf,village
